datetime,tower_id,x_m,y_m,z_m,temperature_degC,effective_users,coverage_radius_m,coverage_load,tx_power_W,power_consumption_W,battery_soc_percent
2026-05-15 00:00:00,9,-293.76,385.49,-0.4,31.31,25.93,305.7,0.09,142.07,90.28,99.23
2026-05-15 00:05:00,9,-293.76,385.49,-0.4,30.98,28.0,316.31,0.09,147.52,92.42,100.0
2026-05-15 00:10:00,9,-293.76,385.49,-0.4,30.47,28.73,212.48,0.2,102.34,82.74,97.88
2026-05-15 00:15:00,9,-293.76,385.49,-0.4,30.22,28.14,211.11,0.19,103.64,82.75,99.48
2026-05-15 00:20:00,9,-293.76,385.49,-0.4,30.89,26.07,153.43,0.36,75.22,77.8,99.03
2026-05-15 00:25:00,9,-293.76,385.49,-0.4,30.21,29.61,262.78,0.13,112.05,84.78,99.3
2026-05-15 00:30:00,9,-293.76,385.49,-0.4,31.58,30.61,262.75,0.14,123.45,87.57,99.71
2026-05-15 00:35:00,9,-293.76,385.49,-0.4,31.28,31.48,303.73,0.11,145.31,93.1,98.43
2026-05-15 00:40:00,9,-293.76,385.49,-0.4,31.04,30.01,260.29,0.12,117.71,86.07,100.0
2026-05-15 00:45:00,9,-293.76,385.49,-0.4,32.13,31.01,171.01,0.32,77.01,79.69,98.4
2026-05-15 00:50:00,9,-293.76,385.49,-0.4,31.2,32.42,206.88,0.25,101.2,83.92,97.15
2026-05-15 00:55:00,9,-293.76,385.49,-0.4,31.67,30.89,224.43,0.19,103.39,83.67,99.26
2026-05-15 01:00:00,9,-293.76,385.49,-0.4,31.07,31.83,287.2,0.12,133.82,105.71,97.61
2026-05-15 01:05:00,9,-293.76,385.49,-0.4,30.72,31.89,247.03,0.17,111.23,85.49,97.62
2026-05-15 01:10:00,9,-293.76,385.49,-0.4,31.65,32.36,265.45,0.15,128.05,89.24,98.93
2026-05-15 01:15:00,9,-293.76,385.49,-0.4,30.94,34.36,291.29,0.13,130.7,90.52,99.1
2026-05-15 01:20:00,9,-293.76,385.49,-0.4,31.54,32.42,317.97,0.1,146.89,93.83,97.11
2026-05-15 01:25:00,9,-293.76,385.49,-0.4,32.34,29.55,286.49,0.12,131.59,89.03,97.75
2026-05-15 01:30:00,9,-293.76,385.49,-0.4,31.15,31.69,270.41,0.14,128.08,88.99,96.21
2026-05-15 01:35:00,9,-293.76,385.49,-0.4,31.69,35.96,233.87,0.2,105.54,85.87,98.11
2026-05-15 01:40:00,9,-293.76,385.49,-0.4,31.38,33.63,289.92,0.13,135.02,103.07,97.59
2026-05-15 01:45:00,9,-293.76,385.49,-0.4,32.07,34.09,190.68,0.29,86.07,82.04,97.77
2026-05-15 01:50:00,9,-293.76,385.49,-0.4,32.33,33.03,225.56,0.19,102.2,84.2,96.89
2026-05-15 01:55:00,9,-293.76,385.49,-0.4,32.25,34.1,216.66,0.25,99.02,84.12,97.49
2026-05-15 02:00:00,9,-293.76,385.49,-0.4,32.19,32.5,224.79,0.2,108.11,85.15,96.41
2026-05-15 02:05:00,9,-293.76,385.49,-0.4,31.64,33.77,235.54,0.21,110.5,86.09,98.48
2026-05-15 02:10:00,9,-293.76,385.49,-0.4,31.65,33.44,196.97,0.26,88.58,82.15,98.59
2026-05-15 02:15:00,9,-293.76,385.49,-0.4,31.81,32.31,232.8,0.19,107.18,84.89,96.96
2026-05-15 02:20:00,9,-293.76,385.49,-0.4,32.09,30.85,287.43,0.12,133.8,90.01,95.94
2026-05-15 02:25:00,9,-293.76,385.49,-0.4,31.95,36.19,287.9,0.13,129.32,90.84,96.02
2026-05-15 02:30:00,9,-293.76,385.49,-0.4,33.07,31.98,241.41,0.19,113.33,85.99,95.5
2026-05-15 02:35:00,9,-293.76,385.49,-0.4,31.4,32.32,384.98,0.07,191.33,107.26,96.17
2026-05-15 02:40:00,9,-293.76,385.49,-0.4,31.88,33.38,297.78,0.13,144.09,93.49,96.78
2026-05-15 02:45:00,9,-293.76,385.49,-0.4,32.33,33.18,203.47,0.24,100.47,84.04,95.79
2026-05-15 02:50:00,9,-293.76,385.49,-0.4,32.29,33.85,266.52,0.15,128.0,89.75,94.41
2026-05-15 02:55:00,9,-293.76,385.49,-0.4,33.38,32.32,179.04,0.32,85.27,81.36,96.71
2026-05-15 03:00:00,9,-293.76,385.49,-0.4,32.13,30.72,382.8,0.06,186.43,105.01,94.15
2026-05-15 03:05:00,9,-293.76,385.49,-0.4,33.6,31.31,263.73,0.14,128.25,88.91,94.76
2026-05-15 03:10:00,9,-293.76,385.49,-0.4,34.48,32.72,243.49,0.19,116.96,87.01,95.13
2026-05-15 03:15:00,9,-293.76,385.49,-0.4,33.24,31.05,268.92,0.13,129.19,89.01,94.88
2026-05-15 03:20:00,9,-293.76,385.49,-0.4,33.19,29.78,321.44,0.09,163.87,97.63,94.13
2026-05-15 03:25:00,9,-293.76,385.49,-0.4,33.66,29.98,210.16,0.2,103.96,83.48,94.94
2026-05-15 03:30:00,9,-293.76,385.49,-0.4,34.12,32.05,230.17,0.2,114.79,86.34,94.63
2026-05-15 03:35:00,9,-293.76,385.49,-0.4,33.12,28.52,189.73,0.25,87.02,80.16,95.84
2026-05-15 03:40:00,9,-293.76,385.49,-0.4,34.45,30.06,223.82,0.18,107.27,84.1,94.69
2026-05-15 03:45:00,9,-293.76,385.49,-0.4,34.91,30.19,271.85,0.12,119.11,86.44,94.5
2026-05-15 03:50:00,9,-293.76,385.49,-0.4,34.37,29.06,305.34,0.1,146.32,92.5,95.28
2026-05-15 03:55:00,9,-293.76,385.49,-0.4,35.07,25.65,293.94,0.09,153.36,93.19,93.99
2026-05-15 04:00:00,9,-293.76,385.49,-0.4,34.04,27.79,275.99,0.11,132.37,88.58,94.55
2026-05-15 04:05:00,9,-293.76,385.49,-0.4,34.33,26.79,322.19,0.07,154.87,93.97,94.55
2026-05-15 04:10:00,9,-293.76,385.49,-0.4,34.77,25.32,243.58,0.15,111.87,83.29,93.12
2026-05-15 04:15:00,9,-293.76,385.49,-0.4,34.15,27.66,314.14,0.1,158.03,95.22,92.27
2026-05-15 04:20:00,9,-293.76,385.49,-0.4,34.73,24.98,221.56,0.16,110.24,82.87,92.4
2026-05-15 04:25:00,9,-293.76,385.49,-0.4,35.42,24.05,184.69,0.22,86.18,78.41,93.48
2026-05-15 04:30:00,9,-293.76,385.49,-0.4,35.02,23.59,229.71,0.14,104.38,81.21,93.56
2026-05-15 04:35:00,9,-293.76,385.49,-0.4,34.87,23.79,267.18,0.11,113.77,83.06,92.62
2026-05-15 04:40:00,9,-293.76,385.49,-0.4,35.39,23.52,225.6,0.13,108.71,81.99,94.43
2026-05-15 04:45:00,9,-293.76,385.49,-0.4,35.09,22.46,298.58,0.08,136.37,87.62,92.97
2026-05-15 04:50:00,9,-293.76,385.49,-0.4,35.78,22.99,274.5,0.1,128.46,85.96,91.25
2026-05-15 04:55:00,9,-293.76,385.49,-0.4,35.58,20.45,252.12,0.11,114.43,82.03,92.08
2026-05-15 05:00:00,9,-293.76,385.49,-0.4,36.06,19.99,261.44,0.09,123.04,83.67,90.56
2026-05-15 05:05:00,9,-293.76,385.49,-0.4,35.8,20.39,288.37,0.08,144.07,88.84,92.82
2026-05-15 05:10:00,9,-293.76,385.49,-0.4,36.74,20.05,320.49,0.07,158.9,92.75,90.97
2026-05-15 05:15:00,9,-293.76,385.49,-0.4,35.79,17.98,244.31,0.09,119.98,82.3,90.83
2026-05-15 05:20:00,9,-293.76,385.49,-0.4,36.57,17.25,237.07,0.1,105.76,79.17,91.38
2026-05-15 05:25:00,9,-293.76,385.49,-0.4,37.0,17.25,271.97,0.07,124.57,83.01,92.7
2026-05-15 05:30:00,9,-293.76,385.49,-0.4,36.86,18.39,259.26,0.09,119.34,82.3,90.65
2026-05-15 05:35:00,9,-293.76,385.49,-0.4,37.64,18.19,170.08,0.21,74.46,74.64,90.13
2026-05-15 05:40:00,9,-293.76,385.49,-0.4,37.2,18.66,245.47,0.09,120.08,82.56,90.13
2026-05-15 05:45:00,9,-293.76,385.49,-0.4,38.05,17.32,263.43,0.08,128.53,83.96,91.59
2026-05-15 05:50:00,9,-293.76,385.49,-0.4,37.93,13.38,206.29,0.1,100.36,76.82,91.28
2026-05-15 05:55:00,9,-293.76,385.49,-0.4,37.89,16.79,234.8,0.1,107.85,79.42,90.61
2026-05-15 06:00:00,9,-293.76,385.49,-0.4,37.66,14.32,169.61,0.16,77.79,73.65,90.54
2026-05-15 06:05:00,9,-293.76,385.49,-0.4,38.98,15.59,269.81,0.06,131.82,84.09,91.06
2026-05-15 06:10:00,9,-293.76,385.49,-0.4,37.93,11.51,266.56,0.05,120.38,80.04,90.24
2026-05-15 06:15:00,9,-293.76,385.49,-0.4,38.84,13.52,220.28,0.1,102.38,77.24,90.31
2026-05-15 06:20:00,9,-293.76,385.49,-0.4,38.95,13.38,268.23,0.06,124.23,81.57,92.12
2026-05-15 06:25:00,9,-293.76,385.49,-0.4,39.59,11.31,281.11,0.04,133.67,82.99,91.03
2026-05-15 06:30:00,9,-293.76,385.49,-0.4,38.99,12.52,215.38,0.09,106.01,77.55,92.25
2026-05-15 06:35:00,9,-293.76,385.49,-0.4,38.53,11.51,320.88,0.03,149.21,87.0,89.51
2026-05-15 06:40:00,9,-293.76,385.49,-0.4,39.04,10.24,241.85,0.05,114.9,78.44,91.4
2026-05-15 06:45:00,9,-293.76,385.49,-0.4,39.27,8.43,246.09,0.04,118.09,78.46,89.6
2026-05-15 06:50:00,9,-293.76,385.49,-0.4,38.89,10.78,318.87,0.03,139.52,84.22,90.52
2026-05-15 06:55:00,9,-293.76,385.49,-0.4,39.8,8.97,278.27,0.04,131.16,81.58,89.2
2026-05-15 07:00:00,9,-293.76,385.49,-0.4,39.98,9.51,207.22,0.07,100.29,75.39,89.76
2026-05-15 07:05:00,9,-293.76,385.49,-0.4,39.67,6.29,141.48,0.1,68.07,69.45,90.16
2026-05-15 07:10:00,9,-293.76,385.49,-0.4,40.56,8.1,289.6,0.03,128.34,80.6,89.1
2026-05-15 07:15:00,9,-293.76,385.49,-0.4,40.7,9.71,224.21,0.06,106.21,76.55,88.97
2026-05-15 07:20:00,9,-293.76,385.49,-0.4,40.39,8.77,302.51,0.03,141.14,83.93,88.02
2026-05-15 07:25:00,9,-293.76,385.49,-0.4,40.99,8.91,317.26,0.03,154.42,107.63,88.69
2026-05-15 07:30:00,9,-293.76,385.49,-0.4,41.4,8.64,193.12,0.07,97.42,87.03,90.2
2026-05-15 07:35:00,9,-293.76,385.49,-0.4,40.08,6.7,193.65,0.06,95.04,73.47,88.06
2026-05-15 07:40:00,9,-293.76,385.49,-0.4,40.8,8.57,191.58,0.07,90.79,73.43,89.13
2026-05-15 07:45:00,9,-293.76,385.49,-0.4,40.56,8.3,239.99,0.04,110.38,76.83,89.01
2026-05-15 07:50:00,9,-293.76,385.49,-0.4,41.3,6.56,206.73,0.05,94.54,73.32,88.39
2026-05-15 07:55:00,9,-293.76,385.49,-0.4,42.09,7.57,254.21,0.04,122.59,79.13,87.55
2026-05-15 08:00:00,9,-293.76,385.49,-0.4,41.26,9.31,193.06,0.08,89.9,73.57,86.98
2026-05-15 08:05:00,9,-293.76,385.49,-0.4,40.9,9.31,307.23,0.03,140.08,83.86,88.55
2026-05-15 08:10:00,9,-293.76,385.49,-0.4,41.57,9.18,285.94,0.03,145.14,85.11,88.25
2026-05-15 08:15:00,9,-293.76,385.49,-0.4,41.77,10.18,262.95,0.05,126.28,80.89,88.53
2026-05-15 08:20:00,9,-293.76,385.49,-0.4,41.73,11.46,190.57,0.09,93.08,74.87,85.51
2026-05-15 08:25:00,9,-293.76,385.49,-0.4,42.07,12.46,238.49,0.07,109.9,78.25,87.47
2026-05-15 08:30:00,9,-293.76,385.49,-0.4,42.35,9.58,281.64,0.04,138.91,83.68,88.17
2026-05-15 08:35:00,9,-293.76,385.49,-0.4,42.64,7.17,249.0,0.04,116.87,77.76,87.59
2026-05-15 08:40:00,9,-293.76,385.49,-0.4,42.86,7.98,239.45,0.04,110.66,76.77,88.73
