timestamp_min,tower_id,tower_x,tower_y,tower_z,move_pw,idle_pw,mesh_pw,truck_pw,total_pw,volt,batt_pct,current_A,ah_step,energy_wh,conn_trucks,conn_towers,T0_x,T0_y,T0_z,T0_dist2D_tower,T0_conn,T1_x,T1_y,T1_z,T1_dist2D_tower,T1_conn,T2_x,T2_y,T2_z,T2_dist2D_tower,T2_conn,T3_x,T3_y,T3_z,T3_dist2D_tower,T3_conn,T4_x,T4_y,T4_z,T4_dist2D_tower,T4_conn,T5_x,T5_y,T5_z,T5_dist2D_tower,T5_conn,T6_x,T6_y,T6_z,T6_dist2D_tower,T6_conn,T7_x,T7_y,T7_z,T7_dist2D_tower,T7_conn,T8_x,T8_y,T8_z,T8_dist2D_tower,T8_conn,T9_x,T9_y,T9_z,T9_dist2D_tower,T9_conn,T10_x,T10_y,T10_z,T10_dist2D_tower,T10_conn,T11_x,T11_y,T11_z,T11_dist2D_tower,T11_conn,T12_x,T12_y,T12_z,T12_dist2D_tower,T12_conn,T13_x,T13_y,T13_z,T13_dist2D_tower,T13_conn,T14_x,T14_y,T14_z,T14_dist2D_tower,T14_conn,T15_x,T15_y,T15_z,T15_dist2D_tower,T15_conn,T16_x,T16_y,T16_z,T16_dist2D_tower,T16_conn,T17_x,T17_y,T17_z,T17_dist2D_tower,T17_conn,T18_x,T18_y,T18_z,T18_dist2D_tower,T18_conn,T19_x,T19_y,T19_z,T19_dist2D_tower,T19_conn,T20_x,T20_y,T20_z,T20_dist2D_tower,T20_conn,T21_x,T21_y,T21_z,T21_dist2D_tower,T21_conn,T22_x,T22_y,T22_z,T22_dist2D_tower,T22_conn,T23_x,T23_y,T23_z,T23_dist2D_tower,T23_conn,T24_x,T24_y,T24_z,T24_dist2D_tower,T24_conn,T25_x,T25_y,T25_z,T25_dist2D_tower,T25_conn,T26_x,T26_y,T26_z,T26_dist2D_tower,T26_conn,T27_x,T27_y,T27_z,T27_dist2D_tower,T27_conn,T28_x,T28_y,T28_z,T28_dist2D_tower,T28_conn,T29_x,T29_y,T29_z,T29_dist2D_tower,T29_conn
0.017,0,150.0,-198.26,-129.85,4,3,0,247.231,254.231,26.5,99.98,9.5936,0.002665,397.4294,T3;T18;T25,,150.0,770.0,-166.97,968.26,1,650.0,350.0,6.39,742.02,None,-100.0,500.0,-18.31,741.67,1,0.0,-270.0,-103.72,166.27,0,-150.0,450.0,-21.45,714.31,1,-150.0,400.0,-21.11,669.27,None,700.0,300.0,4.48,742.14,None,700.0,-170.0,-148.78,550.73,None,-300.0,320.0,-165.3,686.36,None,-500.0,420.0,-65.39,897.08,None,-150.0,400.0,-21.11,669.27,None,650.0,200.0,17.54,639.23,None,650.0,200.0,17.54,639.23,None,650.0,300.0,7.92,705.88,None,650.0,200.0,17.54,639.23,None,-300.0,320.0,-165.3,686.36,None,-450.0,370.0,-148.64,826.39,None,600.0,-290.0,-100.36,459.26,None,150.0,-320.0,-189.25,121.74,0,750.0,200.0,11.81,720.15,None,750.0,-170.0,-89.17,600.67,None,700.0,150.0,16.43,650.99,None,-100.0,350.0,-17.28,602.57,None,600.0,-290.0,-100.36,459.26,None,-500.0,420.0,-65.39,897.08,None,500.0,-170.0,-136.28,351.14,0,-570.0,50.0,-9.57,761.6,None,750.0,200.0,11.81,720.15,None,220.0,320.0,19.8,522.97,1,-100.0,350.0,-17.28,602.57,None
0.033,0,150.0,-196.52,-128.86,4,3,0,245.165,252.165,26.499,99.96,9.5159,0.002643,397.3593,T3;T18;T25,,122.41,758.96,-162.88,955.88,1,620.05,350.0,8.03,720.85,None,-100.0,470.0,-18.03,711.87,1,0.0,-250.0,-114.34,159.25,0,-120.08,450.0,-19.29,700.67,1,-128.81,421.19,-19.73,677.72,1,700.0,329.99,3.74,761.39,None,700.0,-150.0,-154.15,551.96,None,-300.0,300.0,-164.92,670.1,None,-500.0,400.0,-82.21,882.24,None,-128.81,421.19,-19.73,677.72,1,620.12,200.0,14.82,615.02,None,679.96,200.0,16.04,661.88,None,620.1,300.0,10.32,683.76,None,620.12,200.0,14.82,615.02,None,-300.0,300.0,-164.92,670.1,None,-450.0,350.0,-155.45,811.6,None,572.21,-278.88,-98.37,430.16,None,122.55,-309.02,-184.16,115.8,0,720.06,200.0,13.74,694.41,None,750.0,-150.0,-99.79,601.8,None,700.0,179.99,15.59,666.53,None,-100.0,380.0,-17.45,628.39,1,572.21,-278.88,-98.37,430.16,None,-500.0,400.0,-82.21,882.24,None,500.0,-150.0,-146.26,353.08,0,-550.0,50.0,-22.76,742.14,None,720.06,200.0,13.74,694.41,None,210.0,310.0,19.63,510.06,1,-100.0,380.0,-17.45,628.39,1
0.05,0,150.0,-194.79,-127.87,4,3,0,271.364,278.364,26.498,99.95,10.5049,0.002918,397.282,T3;T18;T25,,100.0,750.0,-159.56,946.11,1,600.0,350.0,9.13,706.61,None,-100.0,450.0,-17.85,691.55,1,20.46,-229.54,-122.25,134.12,0,-100.0,450.0,-17.85,691.55,1,-107.62,442.38,-18.35,687.28,1,700.0,350.0,3.25,774.14,None,679.18,-129.18,-148.39,533.23,None,-300.0,270.17,-161.71,647.06,None,-470.16,400.0,-85.26,859.28,None,-107.62,442.38,-18.35,687.28,1,600.0,200.0,12.99,598.63,None,700.0,200.0,15.03,677.02,None,600.0,300.0,11.93,668.81,None,600.0,200.0,12.99,598.63,None,-300.0,270.17,-161.71,647.06,None,-420.11,350.0,-152.88,788.55,None,544.41,-267.77,-96.38,401.11,None,100.0,-300.0,-179.97,116.49,0,700.0,200.0,15.03,677.02,None,729.74,-129.74,-108.67,583.38,None,700.0,200.0,15.03,677.02,None,-100.0,410.0,-17.62,654.42,1,544.41,-267.77,-96.38,401.11,None,-470.16,400.0,-85.26,859.28,None,520.82,-129.18,-140.52,376.58,0,-520.24,50.0,-26.58,713.55,None,700.0,200.0,15.03,677.02,None,200.51,281.54,19.69,479.0,1,-100.0,410.0,-17.62,654.42,1
0.067,0,150.0,-193.05,-126.88,4,3,0,489.183,496.183,26.498,99.91,18.7256,0.005202,397.1442,T3;T17;T18;T23,,79.15,729.15,-154.04,924.91,1,600.0,320.05,10.81,682.47,None,-73.24,436.62,-15.63,668.07,1,40.92,-209.08,-130.16,110.25,0,-73.24,436.62,-15.63,668.07,1,-100.0,450.0,-17.85,689.93,1,670.06,350.0,5.13,751.91,None,658.36,-108.36,-142.64,515.37,None,-300.0,250.0,-159.54,631.5,None,-440.31,400.0,-88.32,836.76,None,-100.0,450.0,-17.85,689.93,1,600.0,229.88,15.64,617.55,None,729.94,200.0,13.11,700.58,None,600.0,270.18,15.21,645.82,None,600.0,171.6,3.32,579.2,None,-300.0,250.0,-159.54,631.5,None,-390.22,350.0,-150.31,765.99,None,516.62,-256.65,-94.39,372.1,0,79.17,-279.17,-174.3,111.51,0,670.04,200.0,16.54,651.86,None,709.47,-109.47,-117.55,565.68,None,670.04,200.0,16.54,651.86,None,-100.0,440.0,-17.79,680.62,1,516.62,-256.65,-94.39,372.1,0,-440.31,400.0,-88.32,836.76,None,541.64,-108.36,-134.79,400.7,None,-490.49,50.0,-30.4,685.05,None,670.04,200.0,16.54,651.86,None,200.0,280.0,19.69,475.68,1,-100.0,440.0,-17.79,680.62,1
0.083,0,150.0,-191.31,-125.89,4,3,0,435.296,442.296,26.496,99.88,16.6929,0.004637,397.0213,T3;T17;T18;T23,,58.3,708.3,-148.51,904.27,1,600.0,300.0,11.93,666.25,None,-46.48,423.24,-13.42,645.19,1,50.0,-200.0,-133.67,100.38,0,-46.48,423.24,-13.42,645.19,1,-73.24,436.62,-15.63,666.43,1,650.0,350.0,6.39,736.9,None,650.0,-100.0,-140.33,508.27,None,-278.06,250.0,-139.08,614.81,None,-410.47,400.0,-91.37,814.72,None,-73.24,436.62,-15.63,666.43,1,600.0,250.0,17.42,630.28,None,750.0,200.0,11.81,716.33,None,600.0,250.0,17.42,630.28,None,600.0,143.2,-6.35,560.71,None,-278.06,250.0,-139.08,614.81,None,-360.33,350.0,-147.75,743.94,None,500.0,-250.0,-93.2,354.89,0,58.34,-258.34,-168.63,113.56,0,650.0,200.0,17.54,634.92,None,700.0,-100.0,-121.7,557.53,None,650.0,200.0,17.54,634.92,None,-100.0,450.0,-17.85,688.31,1,500.0,-250.0,-93.2,354.89,0,-410.47,400.0,-91.37,814.72,None,550.0,-100.0,-132.48,410.29,None,-460.73,50.0,-34.22,656.68,None,650.0,200.0,17.54,634.92,None,180.0,280.0,15.05,472.26,1,-100.0,450.0,-17.85,688.31,1
0.1,0,150.0,-189.57,-124.9,4,3,0,384.458,391.458,26.495,99.85,14.775,0.004104,396.9126,T3;T17;T18;T23,,50.0,700.0,-146.31,895.17,1,600.0,270.18,15.21,643.33,None,-19.72,409.86,-11.2,623.0,1,78.45,-200.0,-143.2,72.31,0,-19.72,409.86,-11.2,623.0,1,-46.48,423.24,-13.42,643.54,1,620.05,350.0,8.03,715.6,None,621.47,-100.0,-131.05,479.91,None,-256.11,250.0,-118.62,598.46,None,-380.62,400.0,-94.43,793.19,None,-46.48,423.24,-13.42,643.54,1,570.04,250.0,18.88,607.99,None,750.0,225.0,9.25,729.29,None,570.04,250.0,18.88,607.99,None,600.0,114.81,-16.03,543.27,None,-256.11,250.0,-118.62,598.46,None,-350.0,350.0,-146.86,735.62,None,486.61,-223.21,-91.47,338.28,0,50.0,-250.0,-166.36,116.84,0,620.12,200.0,14.82,610.56,None,671.89,-100.0,-132.17,529.52,None,620.12,200.0,14.82,610.56,None,-73.24,436.62,-15.63,664.79,1,486.61,-223.21,-91.47,338.28,0,-380.62,400.0,-94.43,793.19,None,579.58,-100.0,-127.5,438.82,None,-430.98,50.0,-38.04,628.43,None,620.12,200.0,14.82,610.56,None,158.81,258.81,16.55,448.47,1,-73.24,436.62,-15.63,664.79,1
0.117,0,150.0,-187.83,-123.91,4,3,0,336.659,343.659,26.493,99.83,12.9715,0.003603,396.8171,T3;T17;T18;T23,,70.34,679.66,-137.78,871.15,1,600.0,250.0,17.42,627.85,None,0.0,400.0,-9.57,606.67,1,100.0,-200.0,-150.42,51.46,0,0.0,400.0,-9.57,606.67,1,-19.72,409.86,-11.2,621.32,1,600.0,350.0,9.13,701.26,None,600.0,-100.0,-124.06,458.49,None,-250.0,250.0,-112.92,593.04,None,-350.78,400.0,-97.48,772.22,None,-19.72,409.86,-11.2,621.32,1,540.07,250.0,20.33,586.39,None,750.0,254.83,6.09,745.62,None,540.07,250.0,20.33,586.39,None,600.0,100.0,-21.07,534.18,None,-250.0,250.0,-112.92,593.04,None,-350.0,371.36,-125.8,750.13,None,473.21,-196.42,-89.73,323.33,0,70.69,-229.31,-159.77,89.5,0,600.0,200.0,12.99,594.07,None,650.0,-100.0,-140.33,507.66,None,600.0,200.0,12.99,594.07,None,-46.48,423.24,-13.42,641.88,1,473.21,-196.42,-89.73,323.33,0,-350.78,400.0,-97.48,772.22,None,600.0,-100.0,-124.06,458.49,None,-401.22,50.0,-41.86,600.34,None,600.0,200.0,12.99,594.07,None,150.0,250.0,17.17,437.83,None,-46.48,423.24,-13.42,641.88,1
0.133,0,150.0,-186.09,-122.92,4,3,0,299.224,306.224,26.492,99.81,11.559,0.003211,396.7321,T3;T17;T18;T23,,90.67,659.33,-129.25,847.5,1,570.04,250.0,18.88,605.48,None,21.02,378.98,-5.51,579.61,1,127.93,-200.0,-139.48,26.08,0,21.02,378.98,-5.51,579.61,1,0.0,400.0,-9.57,604.98,1,600.0,380.0,9.28,723.16,None,600.0,-73.44,-110.11,463.89,None,-230.15,250.0,-90.43,578.52,None,-350.0,400.0,-97.56,770.39,None,0.0,400.0,-9.57,604.98,1,510.11,250.0,21.79,565.56,None,750.0,275.0,3.96,756.71,None,510.11,250.0,21.79,565.56,None,600.0,73.22,-34.59,519.37,None,-230.15,250.0,-90.43,578.52,None,-350.0,392.73,-104.73,764.87,None,459.82,-169.64,-87.99,310.26,0,91.39,-208.61,-153.17,62.79,0,600.0,229.88,15.64,612.81,None,621.47,-100.0,-131.05,479.27,None,600.0,229.88,15.64,612.81,None,-19.72,409.86,-11.2,619.65,1,459.82,-169.64,-87.99,310.26,0,-350.0,400.0,-97.56,770.39,None,600.0,-73.44,-110.11,463.89,None,-371.46,50.0,-45.67,572.42,None,600.0,171.6,3.32,574.85,None,120.06,250.0,15.33,437.12,None,-19.72,409.86,-11.2,619.65,1
0.15,0,150.0,-184.36,-121.94,4,3,0,278.611,285.611,26.491,99.79,10.7813,0.002995,396.6527,T3;T17;T18;T23,,100.0,650.0,-125.34,835.85,1,540.07,250.0,20.33,583.8,None,42.04,357.96,-1.45,552.96,1,150.0,-200.0,-130.84,15.64,0,42.04,357.96,-1.45,552.96,1,21.02,378.98,-5.51,577.92,1,600.0,400.0,9.38,737.54,None,600.0,-46.88,-96.17,470.53,None,-210.29,250.0,-67.94,564.34,None,-350.0,378.64,-118.62,752.97,None,21.02,378.98,-5.51,577.92,1,500.0,250.0,22.28,557.82,None,750.0,300.0,2.57,771.1,None,500.0,250.0,22.28,557.82,None,600.0,46.44,-48.11,505.73,None,-210.29,250.0,-67.94,564.34,None,-350.0,400.0,-97.56,769.07,None,450.0,-150.0,-86.71,301.96,0,100.0,-200.0,-150.42,52.39,0,600.0,250.0,17.42,625.43,None,600.0,-100.0,-124.06,457.84,None,600.0,250.0,17.42,625.43,None,0.0,400.0,-9.57,603.3,1,450.0,-150.0,-86.71,301.96,0,-350.0,378.64,-118.62,752.97,None,600.0,-46.88,-96.17,470.53,None,-350.0,50.0,-48.43,552.2,None,600.0,143.2,-6.35,556.59,None,120.0,250.0,15.33,435.39,None,0.0,400.0,-9.57,603.3,1
0.167,0,150.0,-182.62,-120.95,4,3,0,331.814,338.814,26.49,99.76,12.7901,0.003553,396.5586,T3;T17;T18;T23,,129.1,650.0,-118.04,832.88,1,510.11,250.0,21.79,562.88,None,50.0,350.0,0.09,541.92,1,150.0,-173.93,-116.0,8.69,0,50.0,350.0,0.09,541.92,1,42.04,357.96,-1.45,551.26,1,600.0,430.0,9.81,760.13,None,600.0,-20.32,-82.22,478.37,None,-200.0,250.0,-56.28,556.47,None,-350.0,357.27,-139.69,735.86,None,42.04,357.96,-1.45,551.26,1,470.01,250.0,23.07,538.11,None,720.02,300.0,3.71,746.89,None,470.01,250.0,23.07,538.11,None,600.0,19.66,-61.63,493.37,None,-200.0,250.0,-56.28,556.47,None,-323.26,386.63,-95.08,740.28,None,470.2,-129.8,-95.89,324.52,0,127.93,-200.0,-139.48,28.09,0,570.04,250.0,18.88,602.98,None,600.0,-73.44,-110.11,463.06,None,570.04,250.0,18.88,602.98,None,21.02,378.98,-5.51,576.22,1,470.2,-129.8,-95.89,324.52,0,-350.0,357.27,-139.69,735.86,None,600.0,-20.32,-82.22,478.37,None,-321.57,59.48,-49.85,530.08,None,600.0,114.81,-16.03,539.41,None,100.0,250.0,12.25,435.5,None,21.02,378.98,-5.51,576.22,1
