time,x,y,battery_pct,num_trucks,mesh_links,total_power
0,42.821098230925195,3.5654700548385643,98.56521433699481,3,3,286.9571326010367
1,43.23650059233761,4.263268300292829,97.16968277768592,3,3,279.1063118617796
2,43.73358984634455,5.204617717898159,95.87478147022011,2,3,258.9802614931624
3,43.561393815564664,5.11165608600084,94.57773794222716,2,3,259.40870559859235
4,44.408270390752335,6.106981040342965,93.26304160857363,2,3,262.93926673070814
5,44.48207107063302,6.906901858262123,91.94087608109261,2,3,264.4331054962014
6,45.47229213136184,7.729462028867114,90.50090622181919,2,3,287.99397185468456
7,45.19243917458533,7.650858466589691,89.0402906084774,2,3,292.1231226683563
8,44.223780027720714,8.56718742592587,87.69432810568638,2,3,269.19250055820686
9,44.59601206899811,8.92746942423281,86.22598687032102,3,3,293.6682470730714
10,44.61882492595548,8.581162431680095,84.79850185319154,3,3,285.49700342589716
11,43.63503613084439,8.372809354594091,83.41180117439583,3,3,277.34013575914065
12,43.05463704513989,8.310119739415162,82.13282491399886,3,3,255.79525207939741
13,42.808512827054024,9.018150332459143,80.90491056712656,3,3,245.58286937445638
14,42.8903505214701,10.002891618911777,79.73584186512535,3,3,233.8137404002449
15,42.31755575103313,9.632976100574918,78.58416909528022,3,3,230.33455396902534
16,42.00817989632066,8.943198976896602,77.4157185877989,3,3,233.69010149626126
17,42.32543693104532,8.062121825272058,76.18481203603744,3,3,246.1813103522951
18,42.58162193220539,8.36963108374349,74.92012846193543,3,3,252.93671482040287
19,42.67427164667324,7.552607014530927,73.48012198582605,4,3,288.00129522187717
20,42.00196996693317,7.3909761222952035,72.10798824173042,4,3,274.42674881912376
21,41.522399734960814,7.886621862687041,70.75787103008274,4,3,270.0234423295358
22,40.71635799646029,7.941270333228407,69.43975724232173,4,3,263.6227575522029
23,40.1839542262355,7.327190209949901,68.15013032095338,4,3,257.9253842736685
24,40.65318272207291,7.622734157988325,66.89990966573289,4,3,250.0441310440977
25,40.53560149334185,7.424153889690783,65.64574772203018,4,3,250.83238874054223
26,39.71586895868118,6.553094432446748,64.61174785472642,3,3,206.79997346075237
27,39.05674089144826,5.560135928344338,63.543583079658994,3,3,213.6329550134866
28,39.22993300496147,6.059387713919223,62.390460264417236,4,3,230.6245630483523
29,39.62807308973432,6.241250051089951,61.28693439843909,4,3,220.7051731956294
